Perr	error	r
(Tage)	(mag)	(mag)
------	-----	-----
45.693	 0.09	20.76
44.106	 0.07	20.52
32.832	 0.07	20.53
26.600	 0.11	20.54
42.476	 0.08	19.94
11.291	 0.09	20.13
 7.362	 0.13	20.06
15.749	 0.05	20.01
34.809	 0.06	20.93
41.264	 0.07	20.73
17.740	 0.04	19.18
 4.975	 0.07	20.32
20.673	 0.03	19.43
10.811	 0.12	20.07
45.169	 0.14	20.96
 7.021	 0.05	20.93
 6.464	 0.10	20.68
16.118	 0.10	21.34
 7.694	 0.07	20.04
26.603	 0.07	21.07
13.338	 0.09	19.42
30.687	 0.07	21.06
 3.978	 0.08	21.46
31.903	 0.15	20.80
16.521	 0.07	21.97
31.033	 0.05	21.36
19.949	 0.10	21.38
26.981	 0.08	20.87
 8.476	 0.04	20.09
11.180	 0.18	20.76
 5.569	 0.06	20.58
 4.577	 0.06	21.09
 8.835	 0.07	20.55
 6.806	 0.23	21.19
 2.903	 0.05	20.90
 6.710	 0.06	20.71
32.356	 0.06	21.47
 6.907	 0.05	20.72
10.498	 0.03	20.31
16.716	 0.06	19.53
25.577	 0.09	20.77
29.103	 0.15	21.07
13.767	 0.03	20.22
 6.028	 0.04	20.87
28.150	 0.07	20.73
 6.495	 0.14	20.79
26.983	 0.05	18.90
 6.869	 0.13	21.48
 8.565	 0.05	20.32
25.786	 0.07	21.02
30.978	 0.06	20.18
11.804	 0.07	20.01
74.334	 0.04	20.04
 3.649	 0.05	20.17
11.813	 0.04	20.23
21.477	 0.12	19.95
 6.203	 0.03	20.60
 3.674	 0.04	21.35
 7.019	 0.07	20.04
31.532	 0.16	21.07
 4.566	 0.04	20.62
15.913	 0.06	20.12
15.780	 0.02	19.69
33.951	 0.07	21.08
28.905	 0.06	19.85
 9.947	 0.05	20.15
 4.632	 0.06	21.39
12.426	 0.07	21.20
 8.383	 0.24	20.92
12.576	 0.04	20.56
 6.901	 0.10	20.66
 6.211	 0.07	20.63
 5.962	 0.05	20.52
26.824	 0.13	19.84
 6.197	 0.04	20.90
28.533	 0.05	21.05
 5.942	 0.06	21.41
36.244	 0.19	21.53
 4.003	 0.03	20.95
 7.778	 0.06	20.44
15.258	 0.08	19.89
 5.127	 0.07	21.60
41.289	 0.06	20.96
 6.336	 0.07	20.98
43.094	 0.03	18.88
10.040	 0.05	21.01
40.065	 0.04	20.45
16.594	 0.02	20.08
 8.817	 0.14	20.43
 5.093	 0.13	21.64
26.096	 0.21	20.08
32.132	 0.06	20.97
 5.437	 0.12	21.00
31.766	 0.20	20.75
 9.165	 0.10	20.56
 5.035	 0.05	20.53
18.137	 0.14	21.52
 6.898	 0.07	20.98
12.991	 0.07	20.57
 3.923	 0.09	21.28
11.917	 0.07	19.72
56.225	 0.03	19.36
31.083	 0.09	20.68
 9.212	 0.08	20.09
13.183	 0.07	20.27
20.481	 0.10	21.25
12.540	 0.06	20.51
 7.465	 0.03	20.22
20.226	 0.03	20.54
 2.848	 0.08	20.96
53.392	 0.03	19.08
 5.633	 0.04	21.14
 5.568	 0.05	21.05
17.649	 0.03	19.34
 8.017	 0.04	20.00
 9.689	 0.12	21.45
 9.144	 0.05	20.86
 3.734	 0.05	21.22
14.397	 0.02	20.46
13.263	 0.20	21.07
14.715	 0.09	20.41
15.478	 0.06	20.89
30.901	 0.06	20.87
69.626	 0.07	21.17
 4.587	 0.06	21.45
35.261	 0.06	20.86
 5.872	 0.09	20.40
 9.964	 0.03	20.96
 6.341	 0.05	21.41
17.309	 0.04	20.33
11.128	 0.05	20.68
18.914	 0.13	20.36
 3.295	 0.08	20.53
29.557	 0.07	21.09
13.572	 0.03	20.18
 6.173	 0.03	20.76
10.729	 0.05	20.94
 9.813	 0.06	20.52
14.263	 0.22	20.29
 9.173	 0.07	21.02
18.495	 0.04	19.44
58.034	 0.03	19.17
20.124	 0.04	19.99
26.941	 0.05	20.82
34.719	 0.11	20.91
16.728	 0.07	19.98
 4.760	 0.09	20.91
 8.420	 0.03	20.48
 8.440	 0.13	20.03
11.428	 0.07	21.14
 4.592	 0.17	21.19
12.177	 0.03	19.65
17.706	 0.07	19.59
20.099	 0.09	19.18
28.921	 0.03	19.31
12.178	 0.18	20.72
13.292	 0.14	20.44
11.642	 0.07	20.27
 6.876	 0.05	20.70
22.142	 0.03	20.01
 6.492	 0.03	20.89
 2.384	 0.09	21.02
17.852	 0.04	20.45
29.591	 0.09	21.41
11.324	 0.04	20.28
 9.619	 0.04	20.68
 7.773	 0.06	20.17
 6.022	 0.06	20.88
14.198	 0.05	20.88
27.979	 0.05	19.99
 5.969	 0.17	20.53
 8.332	 0.20	20.99
 5.880	 0.05	20.86
 4.429	 0.08	21.10
 6.089	 0.08	20.72
 9.266	 0.11	20.49
 8.806	 0.06	20.43
40.207	 0.04	20.46
19.850	 0.06	22.16
22.243	 0.03	19.00
 6.529	 0.06	21.09
 5.404	 0.05	21.52
 8.330	 0.04	20.70
 5.218	 0.12	20.55
21.883	 0.05	19.61
 5.407	 0.09	21.20
 7.186	 0.19	21.50
 5.483	 0.08	21.28
 6.759	 0.05	20.48
11.587	 0.07	20.77
 4.880	 0.04	20.07
 3.308	 0.06	21.76
11.791	 0.06	20.55
65.374	 0.06	21.73
 6.598	 0.10	20.42
 3.711	 0.10	21.26
 7.379	 0.05	20.17
34.412	 0.05	20.89
13.557	 0.05	20.47
34.308	 0.18	20.82
 7.502	 0.04	20.33
 4.203	 0.11	21.47
21.943	 0.03	19.53
 6.895	 0.19	21.58
15.303	 0.04	19.69
10.385	 0.04	20.41
37.191	 0.04	20.56
 5.754	 0.13	21.29
 8.488	 0.09	20.64
11.702	 0.05	20.29
25.762	 0.05	21.03
 5.209	 0.05	20.99
 6.377	 0.05	20.74
 7.281	 0.03	21.01
19.566	 0.09	19.11
 5.919	 0.04	20.74
 5.338	 0.04	21.11
 4.459	 0.07	21.77
 3.188	 0.04	20.66
 8.945	 0.08	21.41
20.224	 0.04	19.54
 7.068	 0.13	21.35
 4.720	 0.06	21.08
31.226	 0.01	18.46
 9.771	 0.04	20.31
 5.318	 0.16	20.46
17.809	 0.05	20.92
41.253	 0.02	18.60
11.976	 0.09	21.43
13.345	 0.10	21.02
 4.126	 0.04	20.95
12.301	 0.05	20.74
 7.989	 0.05	21.06
 4.446	 0.04	20.81
 4.161	 0.09	21.77
22.459	 0.22	19.24
 4.445	 0.07	21.38
35.223	 0.02	19.99
 4.696	 0.04	20.78
30.305	 0.06	21.02
 8.086	 0.15	20.88
17.587	 0.05	20.26
 7.138	 0.03	20.52
 9.362	 0.06	20.99
18.775	 0.03	19.17
13.425	 0.10	20.48
14.736	 0.09	21.56
 7.803	 0.03	21.11
 5.651	 0.04	20.73
 8.314	 0.05	20.21
14.911	 0.04	20.91
13.120	 0.02	19.67
15.447	 0.08	21.48
16.154	 0.09	19.97
 4.286	 0.04	21.24
 4.863	 0.05	21.02
22.387	 0.08	21.34
 9.598	 0.03	21.01
 9.174	 0.07	21.15
 8.026	 0.08	20.24
 6.831	 0.06	20.97
 2.341	 0.03	21.09
 6.089	 0.03	20.72
 6.267	 0.11	21.63
 9.092	 0.05	20.50
 4.099	 0.04	21.29
 6.219	 0.03	20.63
 5.137	 0.08	21.28
 4.345	 0.06	20.99
 8.530	 0.05	20.16
10.627	 0.07	21.50
 3.941	 0.07	21.16
57.559	 0.02	18.88
 5.522	 0.11	21.25
 6.338	 0.02	20.29
 2.287	 0.05	21.06
 7.108	 0.05	20.88
 8.206	 0.04	20.28
 3.216	 0.08	21.88
 5.867	 0.11	21.42
 6.095	 0.05	20.64
11.467	 0.01	20.07
22.073	 0.03	19.59
 4.888	 0.13	21.51
 4.294	 0.06	20.86
37.876	 0.03	21.25
27.162	 0.03	19.24
 7.726	 0.04	20.73
27.561	 0.04	19.21
10.662	 0.05	20.55
 8.642	 0.02	20.01
20.684	 0.05	20.16
 7.484	 0.05	20.73
 7.520	 0.04	20.14
 5.898	 0.06	21.23
 9.242	 0.05	21.12
10.506	 0.03	20.03
33.832	 0.05	20.59
 8.224	 0.12	20.87
 8.580	 0.03	20.71
30.719	 0.20	21.63
21.692	 0.02	19.32
31.901	 0.07	21.09
 5.808	 0.04	21.03
 3.727	 0.05	21.46
 4.292	 0.11	21.36
 4.567	 0.06	21.35
11.690	 0.08	21.39
47.101	 0.07	20.14
 5.438	 0.08	21.45
 5.848	 0.07	21.34
 5.394	 0.06	21.27
12.957	 0.04	20.03
 4.238	 0.06	21.14
 4.229	 0.06	21.21
 5.926	 0.10	21.01
 3.318	 0.03	20.83
16.708	 0.03	20.12
 9.804	 0.07	20.05
14.285	 0.03	19.93
 7.867	 0.04	20.32
 9.542	 0.04	20.80
 5.208	 0.05	21.54
 8.599	 0.17	20.70
 3.076	 0.07	21.87
41.286	 0.04	20.27
38.377	 0.09	20.89
13.653	 0.11	19.82
 5.344	 0.05	21.18
 9.163	 0.08	21.24
 4.582	 0.07	21.46
30.838	 0.03	21.09
17.045	 0.03	20.40
 4.694	 0.04	20.96
 2.905	 0.08	21.75
 3.158	 0.03	20.99
 4.984	 0.11	20.71
 5.927	 0.12	21.33
 3.284	 0.06	21.57
10.297	 0.06	20.52
 4.682	 0.25	21.84
26.449	 0.18	21.23
 7.656	 0.01	19.99
24.033	 0.03	21.45
 2.910	 0.04	21.33
 3.258	 0.04	21.58
 6.567	 0.03	20.77
14.624	 0.18	20.01
 8.315	 0.04	20.68
 7.552	 0.05	21.12
 3.100	 0.04	21.47
26.692	 0.05	21.24
20.604	 0.09	21.37
13.155	 0.03	20.24
34.112	 0.08	19.89
27.409	 0.07	21.42
36.106	 0.09	19.48
 4.433	 0.04	20.78
 6.433	 0.10	21.16
 3.440	 0.12	21.06
45.021	 0.02	18.59
 2.762	 0.06	20.98
 5.137	 0.05	20.87
14.389	 0.05	19.83
 2.834	 0.06	21.63
25.757	 0.12	21.13
 4.181	 0.05	20.63
14.328	 0.04	19.76
 6.149	 0.03	20.37
12.026	 0.05	21.32
11.680	 0.05	20.43
 4.641	 0.07	21.21
34.579	 0.05	21.27
11.568	 0.05	20.07
40.430	 0.04	21.02
19.361	 0.04	19.56
 2.277	 0.05	21.54
 3.398	 0.10	20.98
 6.166	 0.11	21.04
 4.902	 0.07	21.21
35.112	 0.03	18.55
13.841	 0.04	20.40
 4.599	 0.04	21.19
37.900	 0.12	20.71
 5.493	 0.09	20.86
45.740	 0.02	18.46
 3.561	 0.06	21.39
22.192	 0.03	19.41
 7.658	 0.04	20.28
 5.656	 0.05	21.22
 7.889	 0.02	20.27
 5.222	 0.04	20.95
 4.968	 0.13	20.85
 5.954	 0.04	20.28
11.670	 0.05	20.82
12.254	 0.03	20.11
 3.568	 0.07	21.33
 5.993	 0.09	21.69
 6.061	 0.04	20.89
 6.070	 0.07	21.09
 5.978	 0.05	20.62
 6.706	 0.05	20.82
 4.655	 0.12	21.35
10.635	 0.02	19.69
 3.924	 0.04	21.55
 5.966	 0.07	21.23
 4.853	 0.14	21.45
 4.341	 0.07	20.98
 6.380	 0.06	20.40
 2.440	 0.04	21.22
 4.331	 0.10	21.59
32.060	 0.07	20.60
 5.152	 0.06	21.72
25.990	 0.10	21.84
 5.479	 0.14	21.06
 5.933	 0.12	20.91
 3.285	 0.03	20.64
 5.922	 0.12	20.80
 5.790	 0.06	21.22
 6.392	 0.03	20.05
 5.137	 0.06	20.74
 4.566	 0.07	21.02
 4.346	 0.06	21.18
 5.699	 0.06	21.02
15.018	 0.07	19.55
 5.673	 0.04	21.10
 7.487	 0.10	20.59
16.434	 0.10	21.51
34.613	 0.06	18.60
 5.622	 0.05	20.69
 5.210	 0.06	21.36
 6.038	 0.03	20.89
29.944	 0.05	20.56
 6.116	 0.09	21.40
11.021	 0.04	20.71
 6.257	 0.06	20.56
 4.033	 0.06	20.98
 3.514	 0.08	21.23
 9.602	 0.08	20.89
 6.384	 0.09	21.01
 5.892	 0.18	21.47
 4.433	 0.05	21.29
19.780	 0.09	20.81
12.773	 0.11	19.98
62.027	 0.02	20.40
 6.706	 0.03	19.98
 5.132	 0.05	20.45
 4.276	 0.06	21.06
 5.648	 0.04	20.09
31.341	 0.13	21.26
